descrip,seriesID,date,cpi-value
Education & Com.,CUURA316SAE,May-1999,103.0
Education & Com.,CUURA316SAE,July-1999,104.0
Education & Com.,CUURA316SAE,September-1999,106.0
Education & Com.,CUURA316SAE,November-1999,105.9
Education & Com.,CUURA316SAE,January-2000,107.1
Education & Com.,CUURA316SAE,March-2000,106.2
Education & Com.,CUURA316SAE,May-2000,105.8
Education & Com.,CUURA316SAE,July-2000,107.4
Education & Com.,CUURA316SAE,September-2000,108.0
Education & Com.,CUURA316SAE,November-2000,108.9
Education & Com.,CUURA316SAE,January-2001,108.9
Education & Com.,CUURA316SAE,March-2001,109.6
Education & Com.,CUURA316SAE,May-2001,109.4
Education & Com.,CUURA316SAE,July-2001,109.5
Education & Com.,CUURA316SAE,September-2001,113.3
Education & Com.,CUURA316SAE,November-2001,113.6
Education & Com.,CUURA316SAE,January-2002,114.4
Education & Com.,CUURA316SAE,March-2002,115.1
Education & Com.,CUURA316SAE,May-2002,115.4
Education & Com.,CUURA316SAE,July-2002,115.9
Education & Com.,CUURA316SAE,September-2002,117.4
Education & Com.,CUURA316SAE,November-2002,115.8
Education & Com.,CUURA316SAE,January-2003,119.2
Education & Com.,CUURA316SAE,March-2003,119.0
Education & Com.,CUURA316SAE,May-2003,118.4
Education & Com.,CUURA316SAE,July-2003,118.3
Education & Com.,CUURA316SAE,September-2003,120.3
Education & Com.,CUURA316SAE,November-2003,120.4
Education & Com.,CUURA316SAE,January-2004,120.1
Education & Com.,CUURA316SAE,March-2004,120.5
Education & Com.,CUURA316SAE,May-2004,120.2
Education & Com.,CUURA316SAE,July-2004,120.3
Education & Com.,CUURA316SAE,September-2004,120.4
Education & Com.,CUURA316SAE,November-2004,121.2
Education & Com.,CUURA316SAE,January-2005,120.9
Education & Com.,CUURA316SAE,March-2005,121.7
Education & Com.,CUURA316SAE,May-2005,121.8
Education & Com.,CUURA316SAE,July-2005,121.6
Education & Com.,CUURA316SAE,September-2005,123.5
Education & Com.,CUURA316SAE,November-2005,123.0
Education & Com.,CUURA316SAE,January-2006,122.8
Education & Com.,CUURA316SAE,March-2006,122.7
Education & Com.,CUURA316SAE,May-2006,123.1
Education & Com.,CUURA316SAE,July-2006,122.5
Education & Com.,CUURA316SAE,September-2006,124.4
Education & Com.,CUURA316SAE,November-2006,125.4
Education & Com.,CUURA316SAE,January-2007,125.287
Education & Com.,CUURA316SAE,March-2007,125.011
Education & Com.,CUURA316SAE,May-2007,125.170
Education & Com.,CUURA316SAE,July-2007,125.979
Education & Com.,CUURA316SAE,September-2007,129.805
Education & Com.,CUURA316SAE,November-2007,129.105
Education & Com.,CUURA316SAE,January-2008,129.969
Education & Com.,CUURA316SAE,March-2008,130.990
Education & Com.,CUURA316SAE,May-2008,130.780
Education & Com.,CUURA316SAE,July-2008,131.212
Education & Com.,CUURA316SAE,September-2008,133.844
Education & Com.,CUURA316SAE,November-2008,133.578
Education & Com.,CUURA316SAE,January-2009,133.372
Education & Com.,CUURA316SAE,March-2009,133.247
Education & Com.,CUURA316SAE,May-2009,133.822
Education & Com.,CUURA316SAE,July-2009,133.757
Education & Com.,CUURA316SAE,September-2009,136.698
Education & Com.,CUURA316SAE,November-2009,136.964
Education & Com.,CUURA316SAE,January-2010,136.631
Education & Com.,CUURA316SAE,March-2010,136.497
Education & Com.,CUURA316SAE,May-2010,136.369
Education & Com.,CUURA316SAE,July-2010,137.100
Education & Com.,CUURA316SAE,September-2010,138.368
Education & Com.,CUURA316SAE,November-2010,137.698
Education & Com.,CUURA316SAE,January-2011,137.575
Education & Com.,CUURA316SAE,March-2011,137.305
Education & Com.,CUURA316SAE,May-2011,136.378
Education & Com.,CUURA316SAE,July-2011,137.471
Education & Com.,CUURA316SAE,September-2011,138.289
Education & Com.,CUURA316SAE,November-2011,138.135
Education & Com.,CUURA316SAE,January-2012,138.738
Education & Com.,CUURA316SAE,March-2012,138.202
Education & Com.,CUURA316SAE,May-2012,138.126
Education & Com.,CUURA316SAE,July-2012,138.482
Education & Com.,CUURA316SAE,September-2012,138.851
Education & Com.,CUURA316SAE,November-2012,139.710
Education & Com.,CUURA316SAE,January-2013,140.751
Education & Com.,CUURA316SAE,March-2013,141.409
Education & Com.,CUURA316SAE,May-2013,141.226
Education & Com.,CUURA316SAE,July-2013,138.898
Education & Com.,CUURA316SAE,September-2013,139.943
Education & Com.,CUURA316SAE,November-2013,140.163
Education & Com.,CUURA316SAE,January-2014,140.781
Education & Com.,CUURA316SAE,March-2014,140.716
Education & Com.,CUURA316SAE,May-2014,138.863
Education & Com.,CUURA316SAE,July-2014,139.247
Education & Com.,CUURA316SAE,September-2014,140.132
Education & Com.,CUURA316SAE,November-2014,137.720
Education & Com.,CUURA316SAE,January-2015,137.420
Education & Com.,CUURA316SAE,March-2015,137.094
Food & Bev.,CUURA316SAF,February-1982,94.6
Food & Bev.,CUURA316SAF,April-1982,95.3
Food & Bev.,CUURA316SAF,June-1982,96.4
Food & Bev.,CUURA316SAF,August-1982,96.7
Food & Bev.,CUURA316SAF,October-1982,96.9
Food & Bev.,CUURA316SAF,December-1982,97.7
Food & Bev.,CUURA316SAF,February-1983,98.3
Food & Bev.,CUURA316SAF,April-1983,99.3
Food & Bev.,CUURA316SAF,June-1983,99.4
Food & Bev.,CUURA316SAF,August-1983,99.7
Food & Bev.,CUURA316SAF,October-1983,100.9
Food & Bev.,CUURA316SAF,December-1983,100.9
Food & Bev.,CUURA316SAF,February-1984,103.5
Food & Bev.,CUURA316SAF,April-1984,104.2
Food & Bev.,CUURA316SAF,June-1984,104.1
Food & Bev.,CUURA316SAF,August-1984,105.0
Food & Bev.,CUURA316SAF,October-1984,104.7
Food & Bev.,CUURA316SAF,December-1984,105.4
