seriesID,date,CPI
CUUR0000SA0,05-2014,237.9
CUUR0000SA0,06-2014,238.343
CUUR0000SA0,07-2014,238.25
CUUR0000SA0,08-2014,237.852
CUUR0000SA0,09-2014,238.031
CUUR0000SA0,10-2014,237.433
CUUR0000SA0,11-2014,236.151
CUUR0000SA0,12-2014,234.812
CUUR0000SA0,01-2015,233.707
CUUR0000SA0,02-2015,234.722
CUUR0000SA0,03-2015,236.119
CUURA316SA0,02-1984,102.9
CUURA316SA0,04-1984,103.3
CUURA316SA0,06-1984,103.8
CUURA316SA0,08-1984,105.1
CUURA316SA0,10-1984,106.4
CUURA316SA0,12-1984,105.4
CUURA316SA0,02-1985,106.2
CUURA316SA0,04-1985,107
CUURA316SA0,06-1985,108.3
CUURA316SA0,08-1985,109.5
CUURA316SA0,10-1985,109.6
CUURA316SA0,12-1985,109.8
CUURA316SA0,02-1986,110.6
CUURA316SA0,04-1986,108.8
CUURA316SA0,06-1986,109.9
CUURA316SA0,08-1986,110.4
CUURA316SA0,10-1986,110.3
CUURA316SA0,12-1986,109.3
CUURA316SA0,02-1987,110.9
CUURA316SA0,04-1987,112.2
CUURA316SA0,06-1987,112.9
CUURA316SA0,08-1987,113.5
CUURA316SA0,10-1987,114.9
CUURA316SA0,12-1987,113.9
CUURA316SA0,02-1988,114
CUURA316SA0,04-1988,115.4
CUURA316SA0,06-1988,115.6
CUURA316SA0,08-1988,117.2
CUURA316SA0,10-1988,117.9
CUURA316SA0,12-1988,117.2
CUURA316SA0,02-1989,117.5
CUURA316SA0,04-1989,118.7
CUURA316SA0,06-1989,120
CUURA316SA0,08-1989,120
CUURA316SA0,10-1989,121.4
CUURA316SA0,12-1989,120.5
CUURA316SA0,02-1990,122.2
CUURA316SA0,04-1990,122.9
CUURA316SA0,06-1990,123.8
CUURA316SA0,08-1990,126
CUURA316SA0,10-1990,129.5
CUURA316SA0,12-1990,128.4
CUURA316SA0,02-1991,129.4
CUURA316SA0,04-1991,129.5
CUURA316SA0,06-1991,130.1
CUURA316SA0,08-1991,131.1
CUURA316SA0,10-1991,133.6
CUURA316SA0,12-1991,132
CUURA316SA0,02-1992,132.4
CUURA316SA0,04-1992,132.5
CUURA316SA0,06-1992,134.2
CUURA316SA0,08-1992,134.4
CUURA316SA0,10-1992,136.1
CUURA316SA0,12-1992,134.6
CUURA316SA0,02-1993,135.4
CUURA316SA0,04-1993,137
CUURA316SA0,06-1993,136.2
CUURA316SA0,08-1993,138.1
CUURA316SA0,10-1993,139.6
CUURA316SA0,12-1993,138.8
